cdr type,cdr datetime,call duration,last calling cellid,user_id
MoCallRecord,20180713112545,,22273.0,8866783096096527738
MtCallRecord,20180713112545,,,8866783096096527738
MtSMSRecord,20180713112603,,,3384066821637594455
MtSMSRecord,20180713112603,,,3788810198305482382
MoCallRecord,20180713112515,,20393.0,2885078888642507715
MtCallRecord,20180713112515,,,2885078888642507715
MoCallRecord,20180713112551,,40173.0,1518603474641034645
MtCallRecord,20180713112551,,,1518603474641034645
MtSMSRecord,20180713112603,,,3384066821637594455
MtSMSRecord,20180713112603,,,3384066821637594455
MtSMSRecord,20180713112603,,,3384066821637594455
MtSMSRecord,20180713112603,,,3384066821637594455
MoCallRecord,20180713112546,,34180.0,922347132867873946
OutGatewayRecord,20180713112546,,34180.0,922347132867873946
MtSMSRecord,20180713112604,,,7566424924061690786
MoCallRecord,20180713112536,,12067.0,6551058959256150408
MtCallRecord,20180713112536,,,6551058959256150408
MoCallRecord,20180713112559,,20348.0,912290813848453447
MtSMSRecord,20180713112604,,,6647700916843399878
MtSMSRecord,20180713112604,,,4888687938595279393
MoCallRecord,20180713112541,,10063.0,3317385907353895934
MtCallRecord,20180713112541,,,3317385907353895934
MtSMSRecord,20180713112603,,,3384066821637594455
MoCallRecord,20180713112450,,10047.0,7771746422082405411
MtCallRecord,20180713112450,,,7771746422082405411
MoCallRecord,20180713112542,,22303.0,4479793749731426349
MtCallRecord,20180713112542,,,4479793749731426349
MoCallRecord,20180713112546,,22153.0,2727851128490402949
MtCallRecord,20180713112546,,,2727851128490402949
MtSMSRecord,20180713112604,,,3384066821637594455
MtSMSRecord,20180713112604,,,3384066821637594455
MoCallRecord,20180713112540,,34207.0,3496810017623080163
OutGatewayRecord,20180713112540,,34207.0,3496810017623080163
MoCallRecord,20180713112553,,12222.0,7953544372348960900
MtCallRecord,20180713112553,,,7953544372348960900
MtSMSRecord,20180713112604,,,3384066821637594455
MoCallRecord,20180713112537,,12081.0,2035867010043723322
MtCallRecord,20180713112537,,,2035867010043723322
MtSMSRecord,20180713112603,,,3384066821637594455
MtSMSRecord,20180713112603,,,3384066821637594455
MtSMSRecord,20180713112603,,,7566424924061690786
MoCallRecord,20180713112558,,35528.0,8935646716195851486
